	id	cleaned_text_w2v	w2v_similarities
0	1.3193E+18	watch joe biden consoled son chris hixon parkland wrestling coach killed shooting	0.0
66985	1.33965E+18	trump spent last four years calling president supposed upset jill biden calls doctor	0.0
66983	1.33995E+18	watch vice president receives safe effective coronavirus vaccine	0.0
66982	1.33971E+18	trump mocks journo twitter first amendment fire fbi spies records phone call fox news official without even bothering get warrant crickets blue check first amendment firefighters	0.0
66981	1.33974E+18	stopped counting biden votes yet	0.0
66980	1.33996E+18	republicans congress senate challenge electoral college votes	0.0
66979	1.33996E+18	announced today big day told pass unremarked upon like many others anything involves president acting alone behalf seems delayed eternity requires agency act forget	0.0
66978	1.33996E+18	need emphasize pfizer statement lack guidance trump admin millions doses sitting warehouse received shipment instructions additional doses	0.0
66977	1.33995E+18	secretary state governor georgia republicans allowing fulton county go vital voter signature verification process also allowing republican watchers present verify	0.0
66976	1.33962E+18	republicans losing minds trump island united states government hacked anyone want tell president maybe know protect country businesses affected	0.0
66975	1.33996E+18	breaking big go pentagon halts biden transition defense briefings via	0.0
66974	1.33975E+18	tired spineless republicans ruining brand party either fight country get hell politics decide	0.0
66973	1.33995E+18	breaking supreme court ruled lawsuit challenging trump administration plan exclude undocumented immigrants census premature fight policy actually implemented see right back court	0.0
66972	1.33995E+18	pentagon delays biden transition briefings	0.0
66971	1.33994E+18	almost bipartisan covid package last minute republicans making demand never mentioned key negotiations want block fed helping economy biden reason deal	0.0
66970	1.33995E+18	peter navarro presents immaculate deception coordinated effort stack election trump pridefamily	0.0
66969	1.33991E+18	friday december obama biden administration corrupt us history obamagate	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	political donations facebook twitter employees went democrats big tech ceos donated silicon valley single greatest threat constitutional republic	0.0
66966	1.33995E+18	love people losing minds cancelling student debt think cool tax money bailed american airlines general motors goldman sachs	0.0
	id	cleaned_text_w2v	w2v_similarities
0	1.3193E+18	watch joe biden consoled son chris hixon parkland wrestling coach killed shooting	0.0
66985	1.33965E+18	trump spent last four years calling president supposed upset jill biden calls doctor	0.0
66983	1.33995E+18	watch vice president receives safe effective coronavirus vaccine	0.0
66982	1.33971E+18	trump mocks journo twitter first amendment fire fbi spies records phone call fox news official without even bothering get warrant crickets blue check first amendment firefighters	0.0
66981	1.33974E+18	stopped counting biden votes yet	0.0
66980	1.33996E+18	republicans congress senate challenge electoral college votes	0.0
66979	1.33996E+18	announced today big day told pass unremarked upon like many others anything involves president acting alone behalf seems delayed eternity requires agency act forget	0.0
66978	1.33996E+18	need emphasize pfizer statement lack guidance trump admin millions doses sitting warehouse received shipment instructions additional doses	0.0
66977	1.33995E+18	secretary state governor georgia republicans allowing fulton county go vital voter signature verification process also allowing republican watchers present verify	0.0
66976	1.33962E+18	republicans losing minds trump island united states government hacked anyone want tell president maybe know protect country businesses affected	0.0
66975	1.33996E+18	breaking big go pentagon halts biden transition defense briefings via	0.0
66974	1.33975E+18	tired spineless republicans ruining brand party either fight country get hell politics decide	0.0
66973	1.33995E+18	breaking supreme court ruled lawsuit challenging trump administration plan exclude undocumented immigrants census premature fight policy actually implemented see right back court	0.0
66972	1.33995E+18	pentagon delays biden transition briefings	0.0
66971	1.33994E+18	almost bipartisan covid package last minute republicans making demand never mentioned key negotiations want block fed helping economy biden reason deal	0.0
66970	1.33995E+18	peter navarro presents immaculate deception coordinated effort stack election trump pridefamily	0.0
66969	1.33991E+18	friday december obama biden administration corrupt us history obamagate	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	political donations facebook twitter employees went democrats big tech ceos donated silicon valley single greatest threat constitutional republic	0.0
66966	1.33995E+18	love people losing minds cancelling student debt think cool tax money bailed american airlines general motors goldman sachs	0.0
	id	cleaned_text_w2v	w2v_similarities
0	1.3193E+18	watch joe biden consoled son chris hixon parkland wrestling coach killed shooting	0.0
66985	1.33965E+18	trump spent last four years calling president supposed upset jill biden calls doctor	0.0
66983	1.33995E+18	watch vice president receives safe effective coronavirus vaccine	0.0
66982	1.33971E+18	trump mocks journo twitter first amendment fire fbi spies records phone call fox news official without even bothering get warrant crickets blue check first amendment firefighters	0.0
66981	1.33974E+18	stopped counting biden votes yet	0.0
66980	1.33996E+18	republicans congress senate challenge electoral college votes	0.0
66979	1.33996E+18	announced today big day told pass unremarked upon like many others anything involves president acting alone behalf seems delayed eternity requires agency act forget	0.0
66978	1.33996E+18	need emphasize pfizer statement lack guidance trump admin millions doses sitting warehouse received shipment instructions additional doses	0.0
66977	1.33995E+18	secretary state governor georgia republicans allowing fulton county go vital voter signature verification process also allowing republican watchers present verify	0.0
66976	1.33962E+18	republicans losing minds trump island united states government hacked anyone want tell president maybe know protect country businesses affected	0.0
66975	1.33996E+18	breaking big go pentagon halts biden transition defense briefings via	0.0
66974	1.33975E+18	tired spineless republicans ruining brand party either fight country get hell politics decide	0.0
66973	1.33995E+18	breaking supreme court ruled lawsuit challenging trump administration plan exclude undocumented immigrants census premature fight policy actually implemented see right back court	0.0
66972	1.33995E+18	pentagon delays biden transition briefings	0.0
66971	1.33994E+18	almost bipartisan covid package last minute republicans making demand never mentioned key negotiations want block fed helping economy biden reason deal	0.0
66970	1.33995E+18	peter navarro presents immaculate deception coordinated effort stack election trump pridefamily	0.0
66969	1.33991E+18	friday december obama biden administration corrupt us history obamagate	0.0
66968	1.33995E+18	whoa	0.0
66967	1.33992E+18	political donations facebook twitter employees went democrats big tech ceos donated silicon valley single greatest threat constitutional republic	0.0
66966	1.33995E+18	love people losing minds cancelling student debt think cool tax money bailed american airlines general motors goldman sachs	0.0
	id	cleaned_text_w2v	w2v_similarities
84365	1.33997E+18	al ahly wins awards club century beating likes real madrid bayern munich barcelona title club president invited dubai attend ceremony dec	0.652302742004394
66342	1.33993E+18	globe soccer awards club century beating likes real madrid bayern munich barcelona title club president invited dubai attend ceremony dec clubofthecentury yallayaahly	0.641987562179565
86889	1.33995E+18	game	0.628708124160766
71649	1.33997E+18	state play	0.587167024612426
74602	1.33997E+18	state play	0.587167024612426
76864	1.33997E+18	state play	0.587167024612426
87619	1.33997E+18	state play	0.587167024612426
58190	1.32552E+18	biden vs trump boat parade	0.577866435050964
61271	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
50408	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
94615	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
49379	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
81758	1.33983E+18	remove matrix political matrix trump vs biden republican vs democrat liberal vs labor etc good vs evil trump chosen role many moons ago biggest purge evil world ever known	0.574753701686859
